Name,API Name,Instance Family,Instance Memory,vCPUs,Arch,On Demand,Linux Spot Average cost,Generation
T4G Large,t4g.large,t4g,8 GiB,2 vCPUs (7h 12m burst),arm64,$0.0448 hourly,$0.0157 hourly,current
INF1 Double Extra Large,inf1.2xlarge,inf1,16 GiB,8 vCPUs,x86_64,$0.3810 hourly,$0.1143 hourly,current
C5AD Large,c5ad.large,c5ad,4 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
R5A Extra Large,r5a.xlarge,r5a,32 GiB,4 vCPUs,x86_64,$0.1430 hourly,$0.0686 hourly,current
M6GD Extra Large,m6gd.xlarge,m6gd,16 GiB,4 vCPUs,arm64,$0.1208 hourly,$0.0737 hourly,current
R5B Large,r5b.large,r5b,16 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
T3 Extra Large,t3.xlarge,t3,16 GiB,4 vCPUs (9h 36m burst),x86_64,$0.1792 hourly,$0.0735 hourly,current
T4G Micro,t4g.micro,t4g,1 GiB,2 vCPUs (2h 24m burst),arm64,$0.0056 hourly,$0.0015 hourly,current
M5 General Purpose Extra Large,m5.xlarge,m5,16 GiB,4 vCPUs,x86_64,$0.2020 hourly,$0.0646 hourly,current
R6A Extra Large,r6a.xlarge,r6a,32 GiB,4 vCPUs,x86_64,$0.1430 hourly,$0.0558 hourly,current
R3 High-Memory Large,r3.large,r3,15.25 GiB,2 vCPUs,x86_64,$0.1900 hourly,$0.0532 hourly,previous
INF1 Extra Large,inf1.xlarge,inf1,8 GiB,4 vCPUs,x86_64,$0.2400 hourly,$0.0672 hourly,current
R5N Large,r5n.large,r5n,16 GiB,2 vCPUs,x86_64,$0.1530 hourly,$0.0597 hourly,current
C5 High-CPU Extra Large,c5.xlarge,c5,8 GiB,4 vCPUs,x86_64,$0.1700 hourly,$0.0799 hourly,current
T3A Double Extra Large,t3a.2xlarge,t3a,32 GiB,8 vCPUs (9h 36m burst),x86_64,$0.1971 hourly,$0.0670 hourly,current
M6ID Extra Large,m6id.xlarge,m6id,16 GiB,4 vCPUs,x86_64,$0.2562 hourly,$0.0794 hourly,current
T3A Small,t3a.small,t3a,2 GiB,2 vCPUs (4h 48m burst),x86_64,$0.0123 hourly,$0.0046 hourly,current
T3A Extra Large,t3a.xlarge,t3a,16 GiB,4 vCPUs (9h 36m burst),x86_64,$0.0986 hourly,$0.0335 hourly,current
R5N Extra Large,r5n.xlarge,r5n,32 GiB,4 vCPUs,x86_64,$0.3060 hourly,$0.1377 hourly,current
M7GD Medium,m7gd.medium,m7gd,4 GiB,1 vCPUs,arm64,$0.0355 hourly,$0.0167 hourly,current
C7A Medium,c7a.medium,c7a,2 GiB,1 vCPUs,x86_64,unavailable,unavailable,current
M6I Double Extra Large,m6i.2xlarge,m6i,32 GiB,8 vCPUs,x86_64,$0.4040 hourly,$0.1616 hourly,current
R5DN Large,r5dn.large,r5dn,16 GiB,2 vCPUs,x86_64,unavailable,unavailable,current
R6G Medium,r6g.medium,r6g,8 GiB,1 vCPUs,arm64,$0.0325 hourly,$0.0140 hourly,current
